#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-random-4-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00275716 seconds
Distributing the actor graph took: 41.5013 seconds
Added actors in: 0.471613 seconds.
Initialized connections of actors in: 0.0464006 seconds.
Async Migration only
Output number: 1, Rank-20: (1) 1 | (2) 1713 | (3)0.0583771/100 | (4) 189, 189 | (5) 4.28038 | (6) 67.2325 | (7) 0.000142246 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (116118, 116118) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.3573 | (25) (0.44843, 134-36) | (26) 100605 | (27) -0.63486
Output number: 11, Rank-35: (1) 40 | (2) 19394 | (3)0.206249/100 | (4) 222, 222 | (5) 49.6585 | (6) 745.905 | (7) 6.8234e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 40.1515/100 | (15) 0 | (17) (222, 222) | (18) X | (19) (1315087, 132201) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 81.5614 | (25) (0.51908, 47-30) | (26) 271551 | (27) -0.32453
Output number: 11, Rank-92: (1) 70 | (2) 19362 | (3)0.361533/100 | (4) 255, 255 | (5) 46.6989 | (6) 749.03 | (7) 0.000109391 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 40.1515/100 | (15) 0 | (17) (255, 255) | (18) X | (19) (1285724, 122966) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 90.3242 | (25) (0.49719, 52-100) | (26) 4063 | (27) -1.0192
Output number: 11, Rank-58: (1) 1 | (2) 19342 | (3)0.0051701/100 | (4) 184, 184 | (5) 45.3965 | (6) 746.841 | (7) 0.000109382 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 40/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (1258369, 110200) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.9971 | (25) (0.39637, 137-90) | (26) 841 | (27) -0.32214
Output number: 11, Rank-24: (1) 128 | (2) 18339 | (3)0.697966/100 | (4) 159, 159 | (5) 1167.83 | (6) 300.774 | (7) 5.9204e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 74.1414/100 | (15) 0 | (17) (159, 159) | (18) X | (19) (1643222, 108582) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 2587.2 | (25) (34.1412, 126-14) | (26) 1 | (27) 30.6723
Output number: 11, Rank-40: (1) 67 | (2) 19252 | (3)0.348016/100 | (4) 256, 256 | (5) 51.7273 | (6) 741.674 | (7) 8.237e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 40.0505/100 | (15) 0 | (17) (256, 256) | (18) X | (19) (1421233, 149899) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 90.0792 | (25) (0.4626, 59-3) | (26) 31179 | (27) -0.6309
Output number: 11, Rank-108: (1) 59 | (2) 19429 | (3)0.30367/100 | (4) 242, 242 | (5) 51.7166 | (6) 740.962 | (7) 0.00010446 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 40/100 | (15) 0 | (17) (242, 242) | (18) X | (19) (1410892, 140553) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 85.2341 | (25) (0.45149, 40-123) | (26) 6317 | (27) -0.34681
Output number: 11, Rank-70: (1) 16 | (2) 19369 | (3)0.0826062/100 | (4) 201, 201 | (5) 47.4115 | (6) 728.632 | (7) 0.000119598 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.1919/100 | (15) 0 | (17) (201, 201) | (18) X | (19) (1279608, 119520) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 70.4634 | (25) (0.40874, 78-106) | (26) 111335 | (27) -0.36879
Output number: 11, Rank-55: (1) 241 | (2) 19381 | (3)1.24349/100 | (4) 413, 413 | (5) 79.5391 | (6) 710.709 | (7) 8.8896e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.899/100 | (15) 0 | (17) (413, 413) | (18) X | (19) (1709023, 238978) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 673.394 | (25) (33.1597, 48-62) | (26) 600 | (27) -0.6746
Output number: 11, Rank-101: (1) 1 | (2) 19251 | (3)0.00519454/100 | (4) 188, 188 | (5) 47.2779 | (6) 728.452 | (7) 6.0732e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.1414/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (1287142, 110325) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.8773 | (25) (0.48674, 62-141) | (26) 574 | (27) -0.54656
Output number: 11, Rank-71: (1) 3 | (2) 19372 | (3)0.0154863/100 | (4) 184, 184 | (5) 46.8031 | (6) 740.981 | (7) 3.3428e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.7475/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (1247583, 110216) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.5482 | (25) (0.53517, 103-111) | (26) 100300 | (27) -0.38339
Output number: 11, Rank-85: (1) 2 | (2) 19363 | (3)0.010329/100 | (4) 185, 185 | (5) 45.3905 | (6) 741.751 | (7) 0.000115071 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.7475/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (1257246, 107688) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.9678 | (25) (0.40557, 23-96) | (26) 64411 | (27) -0.31371
Output number: 11, Rank-60: (1) 163 | (2) 19347 | (3)0.842508/100 | (4) 350, 350 | (5) 167.809 | (6) 685.827 | (7) 0.000138605 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 43.0808/100 | (15) 0 | (17) (350, 350) | (18) X | (19) (1546684, 203765) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1659.71 | (25) (33.8062, 96-65) | (26) 417 | (27) -1.12877
Output number: 11, Rank-50: (1) 4 | (2) 19349 | (3)0.0206729/100 | (4) 192, 192 | (5) 48.1526 | (6) 739.449 | (7) 8.0399e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.7475/100 | (15) 0 | (17) (192, 192) | (18) X | (19) (1298303, 115193) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 68.5238 | (25) (0.48226, 13-61) | (26) 177608 | (27) -0.68749
Output number: 11, Rank-39: (1) 109 | (2) 19413 | (3)0.561479/100 | (4) 293, 293 | (5) 58.5689 | (6) 714.623 | (7) 6.2676e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.0404/100 | (15) 0 | (17) (293, 293) | (18) X | (19) (1539198, 172323) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 109.458 | (25) (0.51291, 42-15) | (26) 241879 | (27) -0.75198
Output number: 11, Rank-103: (1) 1 | (2) 19380 | (3)0.00515996/100 | (4) 182, 182 | (5) 47.3725 | (6) 734.724 | (7) 5.0857e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.4949/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (1242494, 108752) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.5456 | (25) (0.49519, 67-122) | (26) 186057 | (27) -0.33816
Output number: 11, Rank-72: (1) 14 | (2) 19392 | (3)0.0721947/100 | (4) 197, 197 | (5) 48.6125 | (6) 768.154 | (7) 8.9159e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 41.2121/100 | (15) 0 | (17) (197, 197) | (18) X | (19) (1301969, 117022) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 71.9006 | (25) (0.49005, 115-115) | (26) 95138 | (27) -0.67819
Output number: 11, Rank-54: (1) 117 | (2) 19403 | (3)0.603/100 | (4) 298, 298 | (5) 55.9824 | (6) 736.531 | (7) 6.6628e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 40/100 | (15) 0 | (17) (298, 298) | (18) X | (19) (1507308, 176779) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 109.716 | (25) (0.50773, 22-48) | (26) 666 | (27) -0.41131
Output number: 11, Rank-110: (1) 19 | (2) 19271 | (3)0.0985937/100 | (4) 205, 205 | (5) 46.0844 | (6) 735.109 | (7) 0.000147794 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.4444/100 | (15) 0 | (17) (205, 205) | (18) X | (19) (1301926, 115292) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 71.4672 | (25) (0.43208, 44-134) | (26) 4067 | (27) -0.22822
Output number: 11, Rank-73: (1) 0 | (2) 19374 | (3)0/100 | (4) 182, 182 | (5) 47.2435 | (6) 728.056 | (7) 0.000149995 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.1414/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (1247519, 109018) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.4014 | (25) (0.45941, 93-126) | (26) 107160 | (27) -0.42987
Output number: 11, Rank-44: (1) 178 | (2) 17382 | (3)1.02405/100 | (4) 85, 85 | (5) 1690.87 | (6) 117.105 | (7) 0.000107667 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 91.2626/100 | (15) 0 | (17) (85, 85) | (18) X | (19) (785282, 49795) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 2834.32 | (25) (34.1275, 51-72) | (26) 1 | (27) 266.379
Output number: 11, Rank-104: (1) 0 | (2) 19215 | (3)0/100 | (4) 183, 183 | (5) 44.6917 | (6) 745.617 | (7) 8.6908e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.899/100 | (15) 0 | (17) (183, 183) | (18) X | (19) (1254351, 109163) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 61.5752 | (25) (0.54292, 74-138) | (26) 187370 | (27) -0.2356
Output number: 11, Rank-74: (1) 127 | (2) 19376 | (3)0.65545/100 | (4) 307, 307 | (5) 59.5174 | (6) 744.626 | (7) 0.000112833 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 40.6061/100 | (15) 0 | (17) (307, 307) | (18) X | (19) (1427960, 180513) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 401.261 | (25) (32.8616, 122-131) | (26) 27989 | (27) -0.75474
Output number: 11, Rank-26: (1) 80 | (2) 17102 | (3)0.467782/100 | (4) 73, 73 | (5) 1633.96 | (6) 136.888 | (7) 0.000249608 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 89.3939/100 | (15) 0 | (17) (73, 73) | (18) X | (19) (891363, 44680) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 2417.83 | (25) (34.0097, 139-9) | (26) 1 | (27) 165.12
Output number: 11, Rank-33: (1) 100 | (2) 17913 | (3)0.558254/100 | (4) 70, 70 | (5) 1384.32 | (6) 236.508 | (7) 0.000252894 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 81.8182/100 | (15) 0 | (17) (70, 70) | (18) X | (19) (994063, 40633) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 2299.45 | (25) (33.4736, 5-15) | (26) 1 | (27) 64.8474
Output number: 11, Rank-100: (1) 7 | (2) 19378 | (3)0.0361234/100 | (4) 189, 189 | (5) 45.4343 | (6) 728.086 | (7) 7.8526e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.0404/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (1249626, 109549) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.3713 | (25) (0.45734, 58-112) | (26) 2174 | (27) -0.36593
Output number: 11, Rank-75: (1) 0 | (2) 19263 | (3)0/100 | (4) 184, 184 | (5) 47.0487 | (6) 739.52 | (7) 9.7917e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 39.697/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (1263286, 110216) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.8406 | (25) (0.47918, 91-134) | (26) 108823 | (27) -0.28042
Output number: 11, Rank-30: (1) 100 | (2) 17694 | (3)0.565163/100 | (4) 72, 72 | (5) 1447.78 | (6) 222.191 | (7) 7.0098e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 84.2929/100 | (15) 0 | (17) (72, 72) | (18) X | (19) (923354, 41642) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2354.39 | (25) (33.5857, 7-11) | (26) 1 | (27) -0.33234
Output number: 11, Rank-96: (1) 87 | (2) 17914 | (3)0.485654/100 | (4) 136, 136 | (5) 1200.25 | (6) 295.625 | (7) 0.000108479 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 75.5051/100 | (15) 0 | (17) (136, 136) | (18) X | (19) (1420168, 107480) | (20) 1 | (21) 1 | (22) 0 | (23) 90 | (24) 3032.74 | (25) (33.7433, 58-85) | (26) 1 | (27) 2260.1
Output number: 11, Rank-80: (1) 115 | (2) 17896 | (3)0.642602/100 | (4) 120, 120 | (5) 1349.54 | (6) 226.689 | (7) 7.3965e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 79.596/100 | (15) 0 | (17) (120, 120) | (18) X | (19) (1697932, 79307) | (20) 1 | (21) 1 | (22) 0 | (23) 5 | (24) 2384.27 | (25) (37.9433, 127-127) | (26) 1 | (27) 163.144
Output number: 11, Rank-34: (1) 164 | (2) 18972 | (3)0.864432/100 | (4) 281, 281 | (5) 600.192 | (6) 544.777 | (7) 0.000276825 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 57.7778/100 | (15) 0 | (17) (281, 281) | (18) X | (19) (1810571, 173878) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2467.23 | (25) (33.602, 8-23) | (26) 1 | (27) 97.5512
Output number: 11, Rank-99: (1) 33 | (2) 19400 | (3)0.170103/100 | (4) 218, 218 | (5) 49.7973 | (6) 718.534 | (7) 1.27e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 38.7879/100 | (15) 0 | (17) (218, 218) | (18) X | (19) (1337063, 125328) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 79.4119 | (25) (0.46582, 52-110) | (26) 5315 | (27) -1.01162
Output number: 11, Rank-67: (1) 67 | (2) 15489 | (3)0.432565/100 | (4) 89, 89 | (5) 1850.2 | (6) 52.321 | (7) 0.000106287 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 96.0606/100 | (15) 0 | (17) (89, 89) | (18) X | (19) (612922, 53134) | (20) 1 | (21) 1 | (22) 0 | (23) 53 | (24) 2933.56 | (25) (33.8944, 73-83) | (26) 1 | (27) 1746.01
Output number: 11, Rank-0: (1) 227 | (2) 18100 | (3)1.25414/100 | (4) 89, 89 | (5) 1163.72 | (6) 307.194 | (7) 0.000184093 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 74.2424/100 | (15) 0 | (17) (89, 89) | (18) X | (19) (1477043, 56228) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2433.75 | (25) (33.5306, 77-48) | (26) 1 | (27) -2.18094
Output number: 11, Rank-32: (1) 178 | (2) 18667 | (3)0.953554/100 | (4) 256, 256 | (5) 679.335 | (6) 497.958 | (7) 0.000133842 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 59.4444/100 | (15) 0 | (17) (256, 256) | (18) X | (19) (1776808, 158364) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2554.15 | (25) (33.4796, 13-11) | (26) 1 | (27) 97.7714
Output number: 11, Rank-105: (1) 151 | (2) 17940 | (3)0.841695/100 | (4) 81, 81 | (5) 1550.81 | (6) 176.174 | (7) 0.000255839 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 87.1717/100 | (15) 0 | (17) (81, 81) | (18) X | (19) (888094, 46097) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 2602.33 | (25) (33.1034, 5-134) | (26) 1 | (27) 31.3436
Output number: 11, Rank-63: (1) 83 | (2) 16638 | (3)0.498858/100 | (4) 163, 163 | (5) 1034.89 | (6) 349.845 | (7) 0.000111099 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 69.899/100 | (15) 0 | (17) (163, 163) | (18) X | (19) (1446524, 98917) | (20) 1 | (21) 1 | (22) 0 | (23) 7 | (24) 2803.84 | (25) (34.6426, 81-88) | (26) 1 | (27) 233.151
Output number: 11, Rank-29: (1) 41 | (2) 17038 | (3)0.240639/100 | (4) 66, 66 | (5) 1448.31 | (6) 248.606 | (7) 5.7405e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 85.6566/100 | (15) 0 | (17) (66, 66) | (18) X | (19) (443281, 38307) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2156.83 | (25) (33.113, 2-0) | (26) 1 | (27) 97.2567
Output number: 11, Rank-109: (1) 101 | (2) 18580 | (3)0.543595/100 | (4) 195, 195 | (5) 866.874 | (6) 401.863 | (7) 5.9994e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 64.0404/100 | (15) 0 | (17) (195, 195) | (18) X | (19) (1556471, 119387) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 2638.42 | (25) (33.4322, 8-132) | (26) 1 | (27) 131.121
Output number: 11, Rank-79: (1) 93 | (2) 19187 | (3)0.484703/100 | (4) 273, 273 | (5) 178.932 | (6) 684.29 | (7) 0.000122677 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 43.5859/100 | (15) 0 | (17) (273, 273) | (18) X | (19) (1479075, 160774) | (20) 1 | (21) 1 | (22) 0 | (23) 2 | (24) 1453.31 | (25) (34.0394, 141-125) | (26) 1 | (27) 66.7736
Output number: 11, Rank-45: (1) 54 | (2) 17567 | (3)0.307395/100 | (4) 80, 80 | (5) 1749.1 | (6) 95.8816 | (7) 7.5449e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 93.1313/100 | (15) 0 | (17) (80, 80) | (18) X | (19) (535291, 46848) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2654.56 | (25) (33.8665, 66-69) | (26) 1 | (27) 99.4785
Output number: 11, Rank-89: (1) 196 | (2) 18400 | (3)1.06522/100 | (4) 184, 184 | (5) 1072.69 | (6) 325.906 | (7) 0.000154865 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 70.6061/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (1876433, 111493) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 2797.37 | (25) (33.4708, 3-123) | (26) 1 | (27) 64.6793
Output number: 11, Rank-69: (1) 102 | (2) 13734 | (3)0.742682/100 | (4) 87, 87 | (5) 1863.65 | (6) 44.4744 | (7) 0.00011483 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 96.3636/100 | (15) 0 | (17) (87, 87) | (18) X | (19) (1164495, 53988) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 2783.67 | (25) (34.2993, 88-76) | (26) 1 | (27) 228.036
Output number: 11, Rank-6: (1) 101 | (2) 16301 | (3)0.619594/100 | (4) 83, 83 | (5) 1767.74 | (6) 84.2626 | (7) 8.9594e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 93.5354/100 | (15) 0 | (17) (83, 83) | (18) X | (19) (883797, 50557) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 2752.53 | (25) (34.1507, 83-73) | (26) 1 | (27) 132.229
Output number: 11, Rank-97: (1) 63 | (2) 16674 | (3)0.377834/100 | (4) 173, 173 | (5) 1286.46 | (6) 252.511 | (7) 0.000250992 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 77.6768/100 | (15) 0 | (17) (173, 173) | (18) X | (19) (1449827, 105155) | (20) 1 | (21) 1 | (22) 0 | (23) 52 | (24) 2918.3 | (25) (33.1169, 72-93) | (26) 1 | (27) 1376.67
Output number: 11, Rank-64: (1) 98 | (2) 14497 | (3)0.676002/100 | (4) 115, 115 | (5) 1559.53 | (6) 158.176 | (7) 0.000138193 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 86.7172/100 | (15) 0 | (17) (115, 115) | (18) X | (19) (1311634, 72046) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2675.32 | (25) (33.8441, 86-85) | (26) 1 | (27) 98.8175
Output number: 11, Rank-3: (1) 90 | (2) 17037 | (3)0.528262/100 | (4) 81, 81 | (5) 1766.35 | (6) 87.171 | (7) 0.000259687 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 93.5859/100 | (15) 0 | (17) (81, 81) | (18) X | (19) (725890, 49331) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 2665.9 | (25) (33.5766, 79-62) | (26) 1 | (27) 130.878
Output number: 11, Rank-47: (1) 202 | (2) 18380 | (3)1.09902/100 | (4) 113, 113 | (5) 834.954 | (6) 427.026 | (7) 0.000270083 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 63.6869/100 | (15) 0 | (17) (113, 113) | (18) X | (19) (1754255, 72086) | (20) 1 | (21) 1 | (22) 0 | (23) 6 | (24) 2923.7 | (25) (38.5833, 61-54) | (26) 1 | (27) 162.951
Output number: 11, Rank-95: (1) 29 | (2) 16522 | (3)0.175524/100 | (4) 84, 84 | (5) 1802.33 | (6) 72.661 | (7) 8.739e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 94.6465/100 | (15) 0 | (17) (84, 84) | (18) X | (19) (551486, 49483) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 2748.42 | (25) (33.5143, 64-75) | (26) 1 | (27) 196.115
Output number: 11, Rank-68: (1) 88 | (2) 15452 | (3)0.569506/100 | (4) 146, 146 | (5) 1591.18 | (6) 146.459 | (7) 5.0978e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 87.7273/100 | (15) 0 | (17) (146, 146) | (18) X | (19) (1371805, 88764) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 2778.79 | (25) (33.903, 91-82) | (26) 1 | (27) 165.196
Output number: 11, Rank-48: (1) 114 | (2) 18121 | (3)0.629104/100 | (4) 102, 102 | (5) 1392.98 | (6) 227.205 | (7) 6.1642e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 81.8182/100 | (15) 0 | (17) (102, 102) | (18) X | (19) (1134928, 63592) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 2897.44 | (25) (33.8896, 58-54) | (26) 1 | (27) 99.9751
Output number: 11, Rank-91: (1) 195 | (2) 17893 | (3)1.08981/100 | (4) 88, 88 | (5) 1466.83 | (6) 194.781 | (7) 0.000249304 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 83.8889/100 | (15) 0 | (17) (88, 88) | (18) X | (19) (1347578, 51460) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2826.39 | (25) (33.6537, 47-78) | (26) 1 | (27) -0.7216
Output number: 11, Rank-78: (1) 112 | (2) 19319 | (3)0.57974/100 | (4) 286, 286 | (5) 125.637 | (6) 703.489 | (7) 0.000115952 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 41.8687/100 | (15) 0 | (17) (286, 286) | (18) X | (19) (1384938, 165219) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 1534.57 | (25) (33.6971, 130-123) | (26) 1 | (27) 97.7065
Output number: 11, Rank-38: (1) 166 | (2) 18569 | (3)0.893963/100 | (4) 195, 195 | (5) 662.903 | (6) 493.874 | (7) 0.000143374 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 58.3838/100 | (15) 0 | (17) (195, 195) | (18) X | (19) (1729905, 125104) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 2476.39 | (25) (33.4648, 18-10) | (26) 1 | (27) 31.2321
Output number: 11, Rank-111: (1) 91 | (2) 18509 | (3)0.491653/100 | (4) 237, 237 | (5) 988.881 | (6) 357.105 | (7) 0.000253762 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 67.9293/100 | (15) 0 | (17) (237, 237) | (18) X | (19) (1635460, 141007) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 2877.26 | (25) (33.9352, 12-138) | (26) 1 | (27) 97.5007
Output number: 11, Rank-82: (1) 104 | (2) 17402 | (3)0.597632/100 | (4) 78, 78 | (5) 1561.46 | (6) 181.591 | (7) 0.000137455 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 88.0303/100 | (15) 0 | (17) (78, 78) | (18) X | (19) (514411, 49916) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 2561.29 | (25) (33.4734, 128-143) | (26) 1 | (27) 65.6036
Output number: 11, Rank-42: (1) 167 | (2) 18180 | (3)0.918592/100 | (4) 85, 85 | (5) 1166.93 | (6) 304.975 | (7) 9.7872e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 1980 | (14) 74.2929/100 | (15) 0 | (17) (85, 85) | (18) X | (19) (1414727, 53184) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 2762.4 | (25) (35.69, 52-61) | (26) 1 | (27) 31.7412
