#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-1-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00140804 seconds
Distributing the actor graph took: 43.3275 seconds
Added actors in: 1.76254 seconds.
Initialized connections of actors in: 0.0487924 seconds.
Async Migration only
Output number: 1, Rank-18: (1) 245 | (2) 1650 | (3)14.8485/100 | (4) 984, 984 | (5) 23.031 | (6) 43.2205 | (7) 0.000132312 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.6667/100 | (15) 0 | (17) (984, 984) | (18) X | (19) (374261, 374261) | (20) 1 | (21) 0 | (22) 0 | (23) 13 | (24) 691.499 | (25) (33.4254, 14-1) | (26) 287 | (27) 37.3734
Output number: 29, Rank-26: (1) 27 | (2) 51933 | (3)0.0519901/100 | (4) 772, 772 | (5) 202.627 | (6) 1611.66 | (7) 0.000101358 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 34.751/100 | (15) 0 | (17) (772, 772) | (18) X | (19) (4969291, 124083) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 415.978 | (25) (33.2552, 81-47) | (26) 30852 | (27) -0.68568
Output number: 29, Rank-22: (1) 137 | (2) 47365 | (3)0.289243/100 | (4) 870, 870 | (5) 2210.69 | (6) 828.155 | (7) 0.00012809 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 58.1992/100 | (15) 0 | (17) (870, 870) | (18) X | (19) (5657925, 139713) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 3667.64 | (25) (33.845, 79-68) | (26) 385 | (27) 32.438
Output number: 29, Rank-18: (1) 279 | (2) 51495 | (3)0.5418/100 | (4) 1018, 1018 | (5) 768.859 | (6) 1180.87 | (7) 0.000132312 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 37.3372/100 | (15) 0 | (17) (1018, 1018) | (18) X | (19) (6452232, 163735) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2460.82 | (25) (34.077, 21-3) | (26) 5259 | (27) -0.33646
Output number: 29, Rank-12: (1) 5 | (2) 51631 | (3)0.0096841/100 | (4) 755, 755 | (5) 202.491 | (6) 1567.89 | (7) 6.9513e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 33.908/100 | (15) 0 | (17) (755, 755) | (18) X | (19) (4935268, 121555) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 279.835 | (25) (0.55307, 110-103) | (26) 620147 | (27) -0.64283
Output number: 29, Rank-25: (1) 14 | (2) 43447 | (3)0.0322232/100 | (4) 206, 206 | (5) 2237.26 | (6) 1002.21 | (7) 4.2865e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 62.0498/100 | (15) 0 | (17) (206, 206) | (18) X | (19) (1334551, 33136) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4366.49 | (25) (36.2305, 139-10) | (26) 4421 | (27) -0.73633
Output number: 29, Rank-21: (1) 4 | (2) 51905 | (3)0.00770639/100 | (4) 737, 737 | (5) 193.497 | (6) 1576.93 | (7) 0.000146192 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 33.908/100 | (15) 0 | (17) (737, 737) | (18) X | (19) (4787738, 118579) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 272.259 | (25) (0.56787, 112-45) | (26) 49007 | (27) -0.40003
Output number: 29, Rank-11: (1) 166 | (2) 51805 | (3)0.320432/100 | (4) 900, 900 | (5) 241.007 | (6) 1401.56 | (7) 9.813e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 31.4559/100 | (15) 0 | (17) (900, 900) | (18) X | (19) (5867883, 144686) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 400.705 | (25) (32.9417, 119-142) | (26) 33271 | (27) -0.26049
Output number: 29, Rank-3: (1) 101 | (2) 51865 | (3)0.194736/100 | (4) 834, 834 | (5) 221.468 | (6) 1476.22 | (7) 9.0159e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 32.5096/100 | (15) 0 | (17) (834, 834) | (18) X | (19) (5435452, 133668) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 312.118 | (25) (0.52949, 59-107) | (26) 17425 | (27) -1.37605
Output number: 29, Rank-1: (1) 435 | (2) 35110 | (3)1.23896/100 | (4) 1071, 1071 | (5) 3841.23 | (6) 272.556 | (7) 5.397e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 78.7931/100 | (15) 0 | (17) (1071, 1071) | (18) X | (19) (6945514, 172302) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 8188.16 | (25) (36.7937, 49-70) | (26) 17362 | (27) -0.75356
Output number: 29, Rank-17: (1) 311 | (2) 51534 | (3)0.603485/100 | (4) 1050, 1050 | (5) 693.925 | (6) 1257.9 | (7) 5.615e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 37.3755/100 | (15) 0 | (17) (1050, 1050) | (18) X | (19) (6644703, 168931) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3303.75 | (25) (33.8904, 64-49) | (26) 1397 | (27) -0.36415
Output number: 29, Rank-5: (1) 279 | (2) 467 | (3)59.743/100 | (4) 880, 880 | (5) 3587.31 | (6) 402.924 | (7) 2.5829e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 76.4368/100 | (15) 0 | (17) (880, 880) | (18) X | (19) (6424342, 141771) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 6171.85 | (25) (36.9825, 11-124) | (26) 4 | (27) 33.0859
Output number: 29, Rank-14: (1) 503 | (2) 51184 | (3)0.982729/100 | (4) 1255, 1255 | (5) 963.722 | (6) 1002.4 | (7) 8.8031e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 37.6628/100 | (15) 0 | (17) (1255, 1255) | (18) X | (19) (7323846, 202025) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 3963.61 | (25) (33.96, 51-53) | (26) 876 | (27) -1.84198
Output number: 29, Rank-6: (1) 31 | (2) 27529 | (3)0.112609/100 | (4) 302, 302 | (5) 3130.29 | (6) 659.534 | (7) 0.000113366 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 72.5862/100 | (15) 0 | (17) (302, 302) | (18) X | (19) (1897940, 48517) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 6191.82 | (25) (33.7597, 16-135) | (26) 1 | (27) 164.54
Output number: 29, Rank-8: (1) 316 | (2) 1216 | (3)25.9868/100 | (4) 1003, 1003 | (5) 4081.25 | (6) 259.597 | (7) 0.000630205 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 83.1418/100 | (15) 0 | (17) (1003, 1003) | (18) X | (19) (6743664, 161705) | (20) 1 | (21) 0 | (22) 0 | (23) 18 | (24) 9118.98 | (25) (34.7193, 80-76) | (26) 1 | (27) 330.761
Output number: 29, Rank-7: (1) 142 | (2) 50052 | (3)0.283705/100 | (4) 874, 874 | (5) 2319.51 | (6) 737.212 | (7) 9.9571e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 58.5441/100 | (15) 0 | (17) (874, 874) | (18) X | (19) (5682017, 140398) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 5730.85 | (25) (37.4781, 68-96) | (26) 1 | (27) 99.1995
Output number: 29, Rank-9: (1) 86 | (2) 14283 | (3)0.602114/100 | (4) 237, 237 | (5) 3915.54 | (6) 406.896 | (7) 0.000414615 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 82.7969/100 | (15) 0 | (17) (237, 237) | (18) X | (19) (1375809, 37471) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 8355.37 | (25) (39.4725, 68-93) | (26) 1 | (27) 141.658
Output number: 29, Rank-19: (1) 155 | (2) 246 | (3)63.0081/100 | (4) 770, 770 | (5) 4021.26 | (6) 270.029 | (7) 0.000115003 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 82.2031/100 | (15) 0 | (17) (770, 770) | (18) X | (19) (5573688, 123890) | (20) 1 | (21) 0 | (22) 0 | (23) 12 | (24) 8611.96 | (25) (34.0922, 1-16) | (26) 1 | (27) 399.969
Output number: 29, Rank-24: (1) 331 | (2) 3384 | (3)9.78132/100 | (4) 1044, 1044 | (5) 3029.64 | (6) 536.021 | (7) 4.5277e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 68.295/100 | (15) 0 | (17) (1044, 1044) | (18) X | (19) (6929762, 168004) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 7468.52 | (25) (36.1151, 137-9) | (26) 1 | (27) 230.815
Output number: 29, Rank-27: (1) 257 | (2) 46012 | (3)0.55855/100 | (4) 972, 972 | (5) 2177.41 | (6) 760.226 | (7) 6.6862e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 56.2644/100 | (15) 0 | (17) (972, 972) | (18) X | (19) (6259387, 156211) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 4806.55 | (25) (41.856, 121-2) | (26) 1 | (27) 66.896
Output number: 29, Rank-16: (1) 196 | (2) 41863 | (3)0.468194/100 | (4) 410, 410 | (5) 4358.26 | (6) 212.224 | (7) 4.593e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 87.5479/100 | (15) 0 | (17) (410, 410) | (18) X | (19) (3519473, 65882) | (20) 1 | (21) 0 | (22) 0 | (23) 11 | (24) 8453.04 | (25) (33.8272, 60-58) | (26) 1 | (27) 231.946
Output number: 29, Rank-10: (1) 8 | (2) 38021 | (3)0.021041/100 | (4) 500, 500 | (5) 3502.16 | (6) 539.071 | (7) 0.000131754 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 77.4138/100 | (15) 0 | (17) (500, 500) | (18) X | (19) (3256600, 80392) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 7557.61 | (25) (36.3585, 142-140) | (26) 1 | (27) 98.3366
Output number: 29, Rank-4: (1) 210 | (2) 51433 | (3)0.408298/100 | (4) 944, 944 | (5) 798.977 | (6) 1330.42 | (7) 7.6838e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 40.7854/100 | (15) 0 | (17) (944, 944) | (18) X | (19) (5678226, 151436) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4253.81 | (25) (34.0005, 10-131) | (26) 1 | (27) -0.23802
Output number: 29, Rank-2: (1) 279 | (2) 51022 | (3)0.546823/100 | (4) 1006, 1006 | (5) 1424.79 | (6) 1024.96 | (7) 9.2236e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 46.9157/100 | (15) 0 | (17) (1006, 1006) | (18) X | (19) (6150166, 161634) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4789.63 | (25) (36.0278, 55-77) | (26) 1 | (27) -0.71224
Output number: 29, Rank-0: (1) 87 | (2) 303 | (3)28.7129/100 | (4) 410, 410 | (5) 4054.18 | (6) 344.097 | (7) 8.2328e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 84.2529/100 | (15) 0 | (17) (410, 410) | (18) X | (19) (2993754, 65899) | (20) 1 | (21) 0 | (22) 0 | (23) 9 | (24) 8621.36 | (25) (36.7745, 64-86) | (26) 1 | (27) 198.139
Output number: 29, Rank-23: (1) 61 | (2) 214 | (3)28.5047/100 | (4) 614, 614 | (5) 5168.2 | (6) 17.338 | (7) 0.000120933 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220 | (14) 99.3295/100 | (15) 0 | (17) (614, 614) | (18) X | (19) (4286530, 98710) | (20) 1 | (21) 0 | (22) 0 | (23) 146 | (24) 11155 | (25) (43.545, 85-69) | (26) 1 | (27) 3732.57
Output number: 29, Rank-15: (1) 85 | (2) 46625 | (3)0.182306/100 | (4) 203, 203 | (5) 3294.93 | (6) 599.824 | (7) 6.8221e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5220.01 | (14) 74.5977/100 | (15) 0 | (17) (203, 203) | (18) X | (19) (1271697, 32659) | (20) 1 | (21) 1 | (22) 0 | (23) 12 | (24) 8330.19 | (25) (105.816, 70-65) | (26) 1 | (27) 366.362
Output number: 30, Rank-8: (1) 316 | (2) 1216 | (3)25.9868/100 | (4) 995, 995 | (5) 4235.38 | (6) 265.221 | (7) 0.000630205 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 83.3333/100 | (15) 0 | (17) (995, 995) | (18) X | (19) (6912511, 168847) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 8930.01 | (25) (35.0202, 77-79) | (26) 199 | (27) -0.09803
Output number: 30, Rank-20: (1) 46 | (2) 48006 | (3)0.0958214/100 | (4) 259, 259 | (5) 2781.07 | (6) 858.774 | (7) 0.000606912 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 67.3889/100 | (15) 0 | (17) (259, 259) | (18) X | (19) (1531590, 42785) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 5959.68 | (25) (34.0988, 21-12) | (26) 64127 | (27) -0.68046
Output number: 30, Rank-9: (1) 94 | (2) 14684 | (3)0.640153/100 | (4) 237, 237 | (5) 4060.44 | (6) 417.401 | (7) 0.000414615 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 82.9074/100 | (15) 0 | (17) (237, 237) | (18) X | (19) (1416844, 41035) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 8340.21 | (25) (36.7213, 85-87) | (26) 7353 | (27) -1.12639
Output number: 30, Rank-26: (1) 27 | (2) 53725 | (3)0.0502559/100 | (4) 772, 772 | (5) 210.248 | (6) 1667.27 | (7) 0.000101358 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 34.7593/100 | (15) 0 | (17) (772, 772) | (18) X | (19) (5099813, 130522) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 420.635 | (25) (33.4121, 89-48) | (26) 443286 | (27) -0.68568
Output number: 30, Rank-19: (1) 155 | (2) 246 | (3)63.0081/100 | (4) 646, 646 | (5) 4154.86 | (6) 282.909 | (7) 0.000115003 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 82.1667/100 | (15) 0 | (17) (646, 646) | (18) X | (19) (5696640, 122952) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6527.18 | (25) (34.0051, 17-12) | (26) 113157 | (27) -0.34729
Output number: 30, Rank-6: (1) 31 | (2) 27529 | (3)0.112609/100 | (4) 289, 289 | (5) 3237.59 | (6) 683.331 | (7) 0.000113366 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 72.5926/100 | (15) 0 | (17) (289, 289) | (18) X | (19) (1950343, 52403) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 5794.53 | (25) (33.6253, 4-143) | (26) 12101 | (27) -0.61946
Output number: 30, Rank-18: (1) 384 | (2) 53196 | (3)0.721859/100 | (4) 1123, 1123 | (5) 825.531 | (6) 1212.84 | (7) 0.000132312 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 37.7407/100 | (15) 0 | (17) (1123, 1123) | (18) X | (19) (6632347, 180115) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 4472.11 | (25) (34.0076, 21-3) | (26) 42 | (27) 0.03865
Output number: 30, Rank-14: (1) 524 | (2) 52898 | (3)0.990586/100 | (4) 1276, 1276 | (5) 1038.76 | (6) 1024.56 | (7) 8.8031e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 38.2037/100 | (15) 0 | (17) (1276, 1276) | (18) X | (19) (7540630, 216784) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 4595.59 | (25) (34.0248, 54-52) | (26) 89 | (27) 0.44499
Output number: 30, Rank-11: (1) 167 | (2) 53595 | (3)0.311596/100 | (4) 901, 901 | (5) 248.468 | (6) 1451.97 | (7) 9.813e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 31.4815/100 | (15) 0 | (17) (901, 901) | (18) X | (19) (6020392, 152509) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 403.146 | (25) (33.0778, 119-143) | (26) 39159 | (27) -0.26049
Output number: 30, Rank-3: (1) 104 | (2) 53656 | (3)0.193827/100 | (4) 837, 837 | (5) 227.968 | (6) 1526.77 | (7) 9.0159e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 32.4815/100 | (15) 0 | (17) (837, 837) | (18) X | (19) (5583240, 147788) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 345.02 | (25) (33.0797, 23-135) | (26) 96768 | (27) -1.37605
Output number: 30, Rank-7: (1) 142 | (2) 51745 | (3)0.274423/100 | (4) 874, 874 | (5) 2419.88 | (6) 755.939 | (7) 9.9571e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 58.7963/100 | (15) 0 | (17) (874, 874) | (18) X | (19) (5832998, 150981) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 5739.3 | (25) (33.8631, 82-94) | (26) 14 | (27) 167.642
Output number: 30, Rank-2: (1) 309 | (2) 52718 | (3)0.586138/100 | (4) 1036, 1036 | (5) 1515.5 | (6) 1047.7 | (7) 9.2236e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 47.463/100 | (15) 0 | (17) (1036, 1036) | (18) X | (19) (6330792, 180626) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 5482.32 | (25) (35.0227, 51-83) | (26) 7095 | (27) -0.71224
Output number: 30, Rank-17: (1) 335 | (2) 53258 | (3)0.629013/100 | (4) 1074, 1074 | (5) 752.367 | (6) 1288.78 | (7) 5.615e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 37.7963/100 | (15) 0 | (17) (1074, 1074) | (18) X | (19) (6825940, 181237) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 3441.82 | (25) (33.3309, 83-49) | (26) 106 | (27) 2.1853
Output number: 30, Rank-0: (1) 87 | (2) 303 | (3)28.7129/100 | (4) 385, 385 | (5) 4203.23 | (6) 353.417 | (7) 8.2328e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 84.3704/100 | (15) 0 | (17) (385, 385) | (18) X | (19) (3063880, 70126) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 8249.47 | (25) (33.7657, 55-92) | (26) 1 | (27) 98.1127
Output number: 30, Rank-13: (1) 114 | (2) 24649 | (3)0.462493/100 | (4) 852, 852 | (5) 3870.13 | (6) 375.575 | (7) 0.00054876 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 78.6111/100 | (15) 0 | (17) (852, 852) | (18) X | (19) (5772092, 143223) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 8833.03 | (25) (34.0012, 137-124) | (26) 1 | (27) 197.002
Output number: 30, Rank-10: (1) 9 | (2) 39368 | (3)0.0228612/100 | (4) 501, 501 | (5) 3630.41 | (6) 555.118 | (7) 0.000131754 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 77.5/100 | (15) 0 | (17) (501, 501) | (18) X | (19) (3340654, 84054) | (20) 1 | (21) 0 | (22) 0 | (23) 10 | (24) 7719.46 | (25) (33.673, 128-139) | (26) 1 | (27) 264.399
Output number: 30, Rank-22: (1) 138 | (2) 49031 | (3)0.281455/100 | (4) 871, 871 | (5) 2274.35 | (6) 861.293 | (7) 0.00012809 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 58.0556/100 | (15) 0 | (17) (871, 871) | (18) X | (19) (5805077, 147152) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 3691.85 | (25) (34.0864, 78-73) | (26) 1 | (27) 33.0343
Output number: 30, Rank-25: (1) 14 | (2) 45213 | (3)0.0309645/100 | (4) 206, 206 | (5) 2311.51 | (6) 1037.49 | (7) 4.2865e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 62/100 | (15) 0 | (17) (206, 206) | (18) X | (19) (1369226, 34675) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 4420.61 | (25) (34.0015, 140-19) | (26) 1 | (27) 32.1733
Output number: 30, Rank-4: (1) 243 | (2) 52898 | (3)0.459375/100 | (4) 977, 977 | (5) 882.749 | (6) 1358.68 | (7) 7.6838e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 41.5/100 | (15) 0 | (17) (977, 977) | (18) X | (19) (5847403, 169177) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 5345.16 | (25) (33.6832, 20-141) | (26) 1 | (27) 198.214
Output number: 30, Rank-16: (1) 224 | (2) 42532 | (3)0.526662/100 | (4) 401, 401 | (5) 4508.72 | (6) 220.5 | (7) 4.593e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 87.5741/100 | (15) 0 | (17) (401, 401) | (18) X | (19) (3589619, 70146) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 8686.54 | (25) (34.8692, 83-51) | (26) 1 | (27) 67.3356
Output number: 30, Rank-15: (1) 85 | (2) 48308 | (3)0.175954/100 | (4) 203, 203 | (5) 3398.17 | (6) 624.419 | (7) 6.8221e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 74.4815/100 | (15) 0 | (17) (203, 203) | (18) X | (19) (1307082, 35385) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 5908.45 | (25) (34.585, 60-60) | (26) 1 | (27) 65.9841
Output number: 30, Rank-5: (1) 279 | (2) 467 | (3)59.743/100 | (4) 860, 860 | (5) 3694.76 | (6) 423.423 | (7) 2.5829e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 76.2593/100 | (15) 0 | (17) (860, 860) | (18) X | (19) (6578145, 153803) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 5789.74 | (25) (33.683, 8-128) | (26) 1 | (27) 67.2405
Output number: 30, Rank-24: (1) 331 | (2) 3384 | (3)9.78132/100 | (4) 1044, 1044 | (5) 3157.97 | (6) 548.511 | (7) 4.5277e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 68.6296/100 | (15) 0 | (17) (1044, 1044) | (18) X | (19) (7105285, 175523) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 7759.16 | (25) (38.1219, 137-18) | (26) 1 | (27) 32.3556
Output number: 30, Rank-27: (1) 257 | (2) 47738 | (3)0.538355/100 | (4) 972, 972 | (5) 2259.48 | (6) 785.564 | (7) 6.6862e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 56.3889/100 | (15) 0 | (17) (972, 972) | (18) X | (19) (6423552, 164165) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 4838.5 | (25) (34.9788, 142-10) | (26) 1 | (27) 65.419
Output number: 30, Rank-12: (1) 5 | (2) 53418 | (3)0.00936014/100 | (4) 755, 755 | (5) 207.775 | (6) 1622.09 | (7) 6.9513e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 33.8704/100 | (15) 0 | (17) (755, 755) | (18) X | (19) (5062129, 126861) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 280.906 | (25) (0.54341, 110-99) | (26) 136052 | (27) -0.64283
Output number: 30, Rank-23: (1) 61 | (2) 214 | (3)28.5047/100 | (4) 580, 580 | (5) 5347.19 | (6) 17.7015 | (7) 0.000120933 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 99.3333/100 | (15) 0 | (17) (580, 580) | (18) X | (19) (4386428, 99898) | (20) 1 | (21) 0 | (22) 0 | (23) 150 | (24) 10169.7 | (25) (34.9772, 94-62) | (26) 1 | (27) 3922.93
Output number: 30, Rank-21: (1) 4 | (2) 53698 | (3)0.00744907/100 | (4) 737, 737 | (5) 198.653 | (6) 1631.4 | (7) 0.000146192 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400 | (14) 33.8889/100 | (15) 0 | (17) (737, 737) | (18) X | (19) (4911632, 123894) | (20) 0 | (21) 1 | (22) 0 | (23) 0 | (24) 278.849 | (25) (0.62985, 135-53) | (26) 383023 | (27) -0.40003
Output number: 30, Rank-1: (1) 437 | (2) 35173 | (3)1.24243/100 | (4) 1073, 1073 | (5) 3987.61 | (6) 280.049 | (7) 5.397e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5400.01 | (14) 79.0185/100 | (15) 0 | (17) (1073, 1073) | (18) X | (19) (7135959, 190445) | (20) 1 | (21) 0 | (22) 0 | (23) 13 | (24) 8250.67 | (25) (33.9031, 62-59) | (26) 1 | (27) 134.644
Output number: 31, Rank-22: (1) 138 | (2) 50712 | (3)0.272125/100 | (4) 871, 871 | (5) 2339.47 | (6) 893.911 | (7) 0.00012809 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5580 | (14) 57.9391/100 | (15) 0 | (17) (871, 871) | (18) X | (19) (5957154, 152077) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3667.82 | (25) (33.6443, 81-73) | (26) 26864 | (27) -0.95632
Output number: 31, Rank-3: (1) 104 | (2) 55447 | (3)0.187567/100 | (4) 837, 837 | (5) 234.598 | (6) 1577.12 | (7) 9.0159e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 5580 | (14) 32.4552/100 | (15) 0 | (17) (837, 837) | (18) X | (19) (5729053, 145813) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 344.935 | (25) (33.0235, 23-135) | (26) 10047 | (27) -1.37605
